iter	RMSE
159	0.1424423773
160	0.1421677386
161	0.1419875961
162	0.1417736303
163	0.1415276294
164	0.1412865669
165	0.1409968516
166	0.1407381561
167	0.1406306772
168	0.1404040997
169	0.1403057975
170	0.1400765092
171	0.1399057522
172	0.1396816393
173	0.1393082369
174	0.1391473468
175	0.1389691255
176	0.1386668741
177	0.1385279188
178	0.138244111
179	0.1378918046
180	0.1376539165
181	0.1374350858
182	0.1373253078
183	0.1370303512
184	0.1368381229
185	0.1367835477
186	0.1365645398
187	0.1363817723
188	0.1362965137
189	0.1361498635
190	0.1359459212
191	0.13581246
192	0.1354389995
193	0.1352779356
194	0.1350357809
195	0.1349511891
196	0.1346656425
197	0.134489482
198	0.134325819
199	0.1341330262
200	0.1338460267
201	0.1337336818
202	0.1335668162
203	0.1334096397
204	0.1333511786
205	0.1331817111
206	0.1328700826
207	0.1327017988
208	0.1324721725
209	0.1322087901
210	0.1319610856
211	0.1318128467
212	0.1317058981
213	0.1314457339
214	0.1312248373
215	0.1310197727
216	0.1308307196
217	0.1306411787
218	0.1304552325
219	0.1303026434
220	0.1301090904
221	0.1300887663
222	0.1299739479
223	0.1296803201
224	0.1295122387
225	0.1292921116
226	0.1291391973
227	0.1289983982
228	0.1289135728
229	0.128794281
230	0.1286411542
231	0.1284375724
232	0.1283201545
233	0.1282106389
234	0.1280644716
235	0.1278417424
236	0.1276163298
237	0.1275282369
238	0.127360091
239	0.1272198965
240	0.1271436888
241	0.1270054961
242	0.1267773768
243	0.1266146342
244	0.1265295763
245	0.1263462766
246	0.1262006999
247	0.1260362618
248	0.1258807542
249	0.1257455983
250	0.1255724741
251	0.1254731992
252	0.1252685025
253	0.1251121705
254	0.1250158352
255	0.1248281057
256	0.1246164327
257	0.1245392862
258	0.1244184203
259	0.1243459979
260	0.1241732589
261	0.124022187
262	0.1238007249
263	0.123716604
264	0.1236182335
265	0.1234351093
266	0.1232979822
267	0.1231296515
268	0.1229974318
269	0.122893066
270	0.1228236169
271	0.1226652699
272	0.1225647935
273	0.1223811797
274	0.1222974968
275	0.1221208513
276	0.1219855332
277	0.1219430321
278	0.12182356
279	0.1216579647
280	0.1215725715
281	0.1214586636
282	0.1212678625
283	0.1211308386
284	0.1210128151
285	0.1208231132
286	0.1206754076
287	0.1204930721
288	0.1204219702
289	0.1202188609
290	0.1200831737
291	0.1200380665
292	0.1198598157
293	0.1197592839
294	0.1196779102
295	0.1196215078
296	0.1195830453
297	0.1194490521
298	0.1194043382
299	0.1192857743
300	0.1192081117
301	0.1191613192
302	0.1190814997
303	0.1190247632
304	0.118867193
305	0.1187841197
306	0.1187122764
307	0.1186577314
308	0.1185647325
309	0.1184619135
310	0.1183956293
311	0.1182540288
312	0.1182093314
313	0.1180878239
314	0.1180040646
315	0.1178886086
316	0.1178468014
317	0.1176761977
318	0.1176324573
319	0.1176030367
320	0.1175566309
321	0.1174329763
322	0.1172578762
323	0.1171729846
324	0.1170972127
325	0.1170477775
326	0.1169567274
327	0.1167443091
328	0.1166395574
329	0.1166081396
330	0.1165272265
331	0.1164437525
332	0.1164362114
333	0.116306685
334	0.1162064984
335	0.1161227305
336	0.1160165625
337	0.1159869764
338	0.1158662662
339	0.1157790469
340	0.1157145607
341	0.1156163161
342	0.1155087204
343	0.1153835506
344	0.1152532784
345	0.1151640195
346	0.1150238174
347	0.1149709518
348	0.1148762771
349	0.1148133382
350	0.1147158249
351	0.1146972372
352	0.1144875231
353	0.1144093558
354	0.1143297138
355	0.1142636563
356	0.1141967076
357	0.1140824724
358	0.1139612672
359	0.1139116751
360	0.1138649093
361	0.1137492796
362	0.1136858608
363	0.1135832699
364	0.1135488221
365	0.1135117929
366	0.1134110577
367	0.1133249936
368	0.1132554473
369	0.1131723841
370	0.1131206706
371	0.1130211223
372	0.1129197091
373	0.1128502377
374	0.1127852239
375	0.1127202321
376	0.1126411396
377	0.1125163527
378	0.1123698829
379	0.1122879372
380	0.1122293951
381	0.1121128074
382	0.1119918413
383	0.1119393296
384	0.1118766946
385	0.1117923424
386	0.1117483551
387	0.1117060216
388	0.1116425063
389	0.1115953135
390	0.1114954686
391	0.1114143472
392	0.1113705378
393	0.111332609
394	0.1112891828
395	0.1112430267
396	0.1112102608
397	0.1111387886
398	0.1110531665
399	0.1109371902
400	0.1109124771
401	0.1108398517
402	0.1107424433
403	0.1106524702
404	0.1105996725
405	0.11052158
406	0.1104763487
407	0.1104139417
408	0.1103370212
409	0.110214029
410	0.1101589733
411	0.110106951
412	0.1100494942
413	0.1099420991
414	0.1098865448
415	0.1096985566
416	0.1096486848
417	0.1095838317
418	0.1095406716
419	0.109471541
420	0.1094195441
421	0.1093237688
422	0.1092917943
423	0.109235232
424	0.1091580058
425	0.109062306
426	0.1090473196
427	0.1089791141
428	0.1089226939
429	0.1088344022
430	0.1087260958
431	0.1085877003
432	0.1085366919
433	0.1084619651
434	0.1084040543
435	0.1083423538
436	0.1082815042
437	0.1082497642
438	0.1082112016
439	0.1081617892
440	0.1081504455
441	0.1080610785
442	0.1079242461
443	0.107883894
444	0.1077882026
445	0.1076844527
446	0.1076421324
447	0.1076104867
448	0.1075361001
449	0.1074996964
450	0.1073376915
451	0.1072921382
452	0.1072281713
453	0.1071438056
454	0.1070659559
455	0.1070179201
456	0.1069142765
457	0.1068285714
458	0.1067845824
459	0.1067559398
460	0.1066377107
461	0.1065857536
462	0.1064710863
463	0.1064130726
464	0.1063590007
465	0.1062964813
466	0.1062059646
467	0.1060582095
468	0.1060167901
469	0.1059529327
470	0.1058874685
471	0.1058550447
472	0.1056972793
473	0.1056434549
474	0.1055635142
475	0.1055125566
476	0.1053944834
477	0.1053313773
478	0.1053074128
479	0.105245927
480	0.1050795968
481	0.1050395903
482	0.1049855184
483	0.1049750582
484	0.1049427306
485	0.1048878937
486	0.1048520454
487	0.1047800947
488	0.1047498333
489	0.1045764281
490	0.1045173466
491	0.1044247403
492	0.1043907393
493	0.1043417829
494	0.1042614867
495	0.10421118
496	0.10416943
497	0.1041323967
498	0.1040076454
499	0.1039556091
500	0.1038518332
501	0.1038274538
502	0.1037945558
503	0.1037503416
504	0.1036727558
505	0.1036324092
506	0.1035488608
507	0.1034830375
508	0.1034255253
509	0.1033890839
510	0.1033610128
511	0.1033161612
512	0.1032551426
513	0.1032222759
514	0.1031433342
515	0.1031010517
516	0.1030357207
517	0.1029438868
518	0.102844754
519	0.1027378766
520	0.1026753257
521	0.1025475224
522	0.1024729304
523	0.1024209086
524	0.1023884826
525	0.1023458982
526	0.1023088663
527	0.1022813464
528	0.1021843788
529	0.102118009
530	0.101962025
531	0.1018794124
532	0.1017850197
533	0.101722521
534	0.1016865475
535	0.1015574477
536	0.1015266676
537	0.1014446319
538	0.1014017856
539	0.1013323134
540	0.1012890054
541	0.1012404614
542	0.1011993913
543	0.1011021927
544	0.1010360726
545	0.1009975544
546	0.1009636849
547	0.100864223
548	0.1008313484
549	0.1007850766
550	0.1007025407
551	0.1005923265
552	0.1005112665
553	0.1003835622
554	0.100336476
555	0.1002833937
556	0.1002024605
557	0.100100817
558	0.1000729843
559	0.1000335082
560	0.1000079159
561	0.09998372728
562	0.0998918567
563	0.09985325342
564	0.09977334254
565	0.09973849241
566	0.09969728203
567	0.09959402838
568	0.09955915912
569	0.09950234261
570	0.09945676151
571	0.0994285393
572	0.09938978142
573	0.09930378302
574	0.09924040394
575	0.09914887152
576	0.09904450107
577	0.09895530245
578	0.09892147482
579	0.09879020263
580	0.09871212893
581	0.09863538714
582	0.09858145063
583	0.0984754418
584	0.09844436178
585	0.09838942371
586	0.09825325233
587	0.09821121215
588	0.09817815151
589	0.09812307551
590	0.09806866736
591	0.09803444844
592	0.09799854822
593	0.09792598408
594	0.09790055745
595	0.09788160834
596	0.0978507521
597	0.09782116343
598	0.09773372233
599	0.09766144526
600	0.09764120466
601	0.09758396123
602	0.09749464254
603	0.09746318548
604	0.09743893371
605	0.0973706689
606	0.0973082605
607	0.09728306465
608	0.0971978795
609	0.0971260207
610	0.09711559909
611	0.09703143219
612	0.0969957334
613	0.09695447742
614	0.09687241544
615	0.09685056148
616	0.09678651482
617	0.09670703666
618	0.09661094488
619	0.09658303745
620	0.09649443007
621	0.09640686369
622	0.09634658778
623	0.09632640166
624	0.09627688428
625	0.09624051173
626	0.09618549801
627	0.09616976968
628	0.09613989653
629	0.09609618222
630	0.09603542811
631	0.09596281587
632	0.09585600543
633	0.09574751051
634	0.09565925366
635	0.09561500855
636	0.09555128532
637	0.09553346902
638	0.09547981063
639	0.09541039343
640	0.0953766303
641	0.09530108906
642	0.09528589404
643	0.09520975986
644	0.09511643239
645	0.09507216619
646	0.09497515344
647	0.09488311505
648	0.09483820818
649	0.09472792353
650	0.09470370125
651	0.09466172387
652	0.09452544297
653	0.09449718765
654	0.09445262994
655	0.09438331104
656	0.09433608616
657	0.09430502283
658	0.09428190503
659	0.09423668586
660	0.09415695056
661	0.09410641591
662	0.09408244068
663	0.09404463038
664	0.09398059196
665	0.09390665509
666	0.09389023772
667	0.09380097892
668	0.09373231172
669	0.09364268553
670	0.09359758333
671	0.09358331979
672	0.09353932875
673	0.09349905087
674	0.09347961129
675	0.09344933465
676	0.09342674055
677	0.09339680577
678	0.09332847038
679	0.09326156889
680	0.0931921
681	0.09315824947
682	0.09306460671
683	0.09302934208
684	0.09297452874
685	0.092961772
686	0.09290759363
687	0.09286772754
688	0.09280847581
689	0.09276301934
690	0.09267669354
691	0.09265275049
692	0.09258092209
693	0.09255717706
694	0.09254713809
695	0.09250831199
696	0.09245812502
697	0.09241885642
698	0.09238427514
699	0.09232020311
700	0.09228213203
701	0.09225789797
702	0.09223492075
703	0.09213789402
704	0.09207900008
705	0.09200607636
706	0.09194152515
707	0.09193212335
708	0.09187666617
709	0.09183812139
710	0.09174991607
711	0.09172574499
712	0.0916825981
713	0.09165099439
714	0.0915741389
715	0.09155523256
716	0.09148991772
717	0.09146120738
718	0.09140421865
719	0.09138997611
720	0.09132810656
721	0.09124278376
722	0.09122646899
723	0.09112331078
724	0.09102760047
725	0.09101538285
726	0.09099629365
727	0.09094001451
728	0.09089839388
729	0.09080103539
730	0.09076819957
731	0.09074770443
732	0.09072557717
733	0.09065549735
734	0.09060390595
735	0.09056941736
736	0.09048983119
737	0.0904313296
738	0.09037030454
739	0.09030321935
740	0.0902787036
741	0.09021608668
742	0.09009469057
743	0.0900829525
744	0.09003216029
745	0.08997971407
746	0.08994993672
747	0.08990028106
748	0.08986236269
749	0.08982173826
750	0.08978375013
751	0.08972031417
752	0.08966006196
753	0.08962024436
754	0.08959509774
755	0.08958583727
756	0.08948778401
757	0.0894430597
758	0.08941171075
759	0.08939016845
760	0.08933920397
761	0.08932515773
762	0.08929713842
763	0.08923716551
764	0.08920798189
765	0.08918042205
766	0.0891584707
767	0.08914271477
768	0.08912736713
769	0.08906086909
770	0.08902908256
771	0.08892949484
772	0.08890204789
773	0.08885536753
774	0.08882037384
775	0.08878487145
776	0.08875795873
777	0.08872438468
778	0.08865744951
779	0.08859585
780	0.08855916401
781	0.08845521259
782	0.08843929794
783	0.08837791518
784	0.08833158088
785	0.08825103466
786	0.08818010676
787	0.08809448182
788	0.08799742549
789	0.08796663538
790	0.08787802832
791	0.08784244367
792	0.08780252923
793	0.08771766025
794	0.08770196767
795	0.08769059505
796	0.0876063001
797	0.08751892565
798	0.08749368006
799	0.08742078596
800	0.08741123096
801	0.08738387357
802	0.08735253265
803	0.08728516162
804	0.087219132
805	0.08719959826
806	0.08711961336
807	0.08710158924
808	0.08706118264
809	0.08700739368
810	0.08695009454
811	0.08690830233
812	0.08687872158
813	0.08685921951
814	0.08682895984
815	0.08676994793
816	0.08674581602
817	0.08671993179
818	0.08662776228
819	0.08658322777
820	0.08655251052
821	0.08651886471
822	0.08646670635
823	0.0864352697
824	0.08638342046
825	0.08635626451
826	0.08633960749
827	0.08631121539
828	0.0862353047
829	0.08619409274
830	0.08616297357
831	0.0861083204
832	0.08608114781
833	0.08598616471
834	0.08594498192
835	0.08590847238
836	0.08587692398
837	0.08585262259
838	0.08582105141
839	0.08579228279
840	0.08570726262
841	0.08564255226
842	0.08560137444
843	0.08557069404
844	0.08554623175
845	0.08552579927
846	0.085419173
847	0.08534961453
848	0.085295504
849	0.0852723287
850	0.0852581081
851	0.08523829064
