objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
58717,252,Комфорт,Панель,1,Нет,0,D
58716,274,Комфорт,Панель,1,Нет,0,D
58317,101,Комфорт,Монолит-кирпич,1,Нет,0,B
58311,352,Комфорт,Монолит-кирпич,1,Нет,0,B
58310,254,Комфорт,Монолит-кирпич,1,Нет,0,B
57267,1031,Комфорт,Монолит-кирпич,1,Нет,204,C
57123,167,Комфорт,Монолит-кирпич,1,Нет,0,A
57121,530,Комфорт,Монолит-кирпич,1,Нет,0,A
57120,468,Комфорт,Монолит-кирпич,1,Нет,0,A
56798,200,Типовой,Панель,1,Нет,0,A
56797,100,Типовой,Панель,1,Нет,0,B
56622,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56621,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56620,8,Бизнес,Монолит-кирпич,1,Нет,0,B
56618,7,Бизнес,Монолит-кирпич,1,Нет,0,B
56617,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56612,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56609,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56607,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56606,8,Бизнес,Монолит-кирпич,1,Нет,0,B
56605,8,Бизнес,Монолит-кирпич,1,Нет,0,B
56604,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56603,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56602,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56601,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56599,7,Бизнес,Монолит-кирпич,1,Нет,0,B
56598,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56597,7,Бизнес,Монолит-кирпич,1,Нет,0,B
56596,3,Бизнес,Монолит-кирпич,1,Нет,0,B
56595,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56593,5,Бизнес,Монолит-кирпич,1,Нет,0,B
56587,5,Бизнес,Монолит-кирпич,1,Нет,0,B
56586,8,Бизнес,Монолит-кирпич,1,Нет,0,B
56585,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56584,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56582,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56581,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56579,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56573,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56572,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56571,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56569,7,Бизнес,Монолит-кирпич,1,Нет,0,B
56567,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56566,7,Бизнес,Монолит-кирпич,1,Нет,0,B
56565,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56564,5,Бизнес,Монолит-кирпич,1,Нет,0,B
56563,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56560,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56559,8,Бизнес,Монолит-кирпич,1,Нет,0,B
56557,3,Бизнес,Монолит-кирпич,1,Нет,0,B
56556,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56554,6,Бизнес,Монолит-кирпич,1,Нет,0,B
56553,4,Бизнес,Монолит-кирпич,1,Нет,0,B
56552,4,Бизнес,Монолит-кирпич,1,Нет,0,B
