objId,flatsCount,buildingClass,wallMaterial,finishTypeCount,freePlan,parkingCount,objEnergyEfficiency
66813,690,Комфорт,Монолит-кирпич,1,Нет,184,B
66465,611,Бизнес,Монолит-кирпич,1,Нет,299,C
66105,552,Комфорт,Другое,1,Нет,436,B
66086,497,Комфорт,Монолит-кирпич,1,Нет,153,B
66049,148,Комфорт,Другое,1,Нет,0,B
66014,915,Комфорт,Другое,1,Нет,88,B
65807,464,Комфорт,Монолит-кирпич,1,Нет,173,C
65596,907,Бизнес,Монолит-кирпич,1,Нет,396,A
65587,145,Комфорт,Монолит-кирпич,1,Нет,0,A
65586,124,Комфорт,Монолит-кирпич,1,Нет,0,A
65582,249,Комфорт,Монолит-кирпич,1,Нет,0,A
65581,196,Комфорт,Монолит-кирпич,1,Нет,0,A
65580,68,Комфорт,Монолит-кирпич,1,Нет,0,A
65559,515,Бизнес,Монолит-кирпич,1,Нет,256,B
65558,515,Бизнес,Монолит-кирпич,1,Нет,276,B
65531,2103,Комфорт,Монолит-кирпич,1,Нет,804,B
65492,54,Комфорт,Монолит-кирпич,1,Нет,0,A
65250,504,Комфорт,Другое,1,Нет,173,B
65209,771,Комфорт,Монолит-кирпич,1,Нет,310,B
64872,504,Комфорт,Монолит-кирпич,1,Нет,200,C
64871,49,Комфорт,Монолит-кирпич,1,Нет,0,C
64870,143,Комфорт,Монолит-кирпич,1,Нет,0,C
64868,414,Комфорт,Монолит-кирпич,1,Нет,151,C
64867,870,Комфорт,Монолит-кирпич,1,Нет,193,C
64866,538,Бизнес,Монолит-кирпич,1,Нет,176,A
64844,505,Бизнес,Монолит-кирпич,1,Нет,270,B
64835,631,Бизнес,Монолит-кирпич,1,Нет,251,A
64822,970,Комфорт,Другое,1,Нет,0,A
64811,122,Комфорт,Монолит-кирпич,1,Нет,0,B
64810,546,Комфорт,Монолит-кирпич,1,Нет,416,B
64809,157,Комфорт,Монолит-кирпич,1,Нет,0,B
64737,389,Бизнес,Монолит-кирпич,1,Нет,178,A
64489,72,Бизнес,Монолит-кирпич,1,Нет,0,A+
64469,744,Комфорт,Монолит-кирпич,1,Нет,147,C
64468,1925,Комфорт,Монолит-кирпич,1,Нет,295,C
64147,1887,Комфорт,Другое,1,Нет,1155,B
64059,512,Комфорт,Другое,1,Нет,0,C
64046,222,Комфорт,Другое,1,Нет,0,A
64045,390,Комфорт,Другое,1,Нет,0,A
64044,553,Комфорт,Другое,1,Нет,0,A
64043,300,Комфорт,Другое,1,Нет,0,A
64016,2241,Комфорт,Другое,1,Нет,0,A
64015,747,Комфорт,Другое,1,Нет,0,A
63906,228,Комфорт,Другое,1,Нет,0,C
63756,583,Комфорт,Монолит-кирпич,1,Нет,100,B
63671,530,Бизнес,Монолит-кирпич,1,Нет,379,A
63540,352,Комфорт,Другое,1,Нет,0,A
63188,207,Бизнес,Монолит-кирпич,1,Нет,158,B
63087,474,Комфорт,Монолит-кирпич,1,Нет,0,B
62342,1026,Бизнес,Другое,1,Есть,276,A
62121,346,Бизнес,Другое,1,Нет,0,B
62071,192,Комфорт,Монолит-кирпич,2,Нет,64,B
61952,310,Комфорт,Монолит-кирпич,1,Нет,232,B
61951,1580,Комфорт,Монолит-кирпич,1,Нет,838,B
61556,91,Комфорт,Монолит-кирпич,1,Нет,0,B
61555,214,Комфорт,Монолит-кирпич,1,Нет,0,B
61554,90,Комфорт,Монолит-кирпич,1,Нет,0,B
61553,87,Комфорт,Монолит-кирпич,1,Нет,0,B
61394,516,Бизнес,Другое,1,Нет,242,C
61366,195,Бизнес,Монолит-кирпич,1,Нет,134,B
60513,387,Комфорт,Другое,1,Нет,0,B
60055,35,Бизнес,Другое,1,Нет,0,C
60053,35,Бизнес,Другое,1,Нет,0,C
60052,73,Бизнес,Другое,1,Нет,0,C
